TSLA,Date,Close
TSLA,2/6/2018,333.97
TSLA,2/7/2018,345
TSLA,2/8/2018,315.23
TSLA,2/9/2018,310.42
TSLA,2/12/2018,315.73
TSLA,2/13/2018,323.66
TSLA,2/14/2018,322.31
TSLA,2/15/2018,334.07
TSLA,2/16/2018,335.49
TSLA,2/20/2018,334.77
TSLA,2/21/2018,333.3
TSLA,2/22/2018,346.17
TSLA,2/23/2018,352.05
TSLA,2/26/2018,357.42
TSLA,2/27/2018,350.99
TSLA,2/28/2018,343.06
TSLA,3/1/2018,330.93
TSLA,3/2/2018,335.12
TSLA,3/5/2018,333.35
TSLA,3/6/2018,328.2
TSLA,3/7/2018,332.3
TSLA,3/8/2018,329.1
TSLA,3/9/2018,327.17
TSLA,3/12/2018,345.51
TSLA,3/13/2018,341.84
TSLA,3/14/2018,326.63
TSLA,3/15/2018,325.6
TSLA,3/16/2018,321.35
TSLA,3/19/2018,313.56
TSLA,3/20/2018,310.55
TSLA,3/21/2018,316.53
TSLA,3/22/2018,309.1
TSLA,3/23/2018,301.54
TSLA,3/26/2018,304.18
TSLA,3/27/2018,279.18
TSLA,3/28/2018,257.78
TSLA,3/29/2018,266.13
TSLA,4/2/2018,252.48
TSLA,4/3/2018,267.53
TSLA,4/4/2018,286.94
TSLA,4/5/2018,305.72
TSLA,4/6/2018,299.3
TSLA,4/9/2018,289.66
TSLA,4/10/2018,304.7
TSLA,4/11/2018,300.93
TSLA,4/12/2018,294.08
TSLA,4/13/2018,300.34
TSLA,4/16/2018,291.21
TSLA,4/17/2018,291.21
TSLA,4/18/2018,293.35
TSLA,4/19/2018,300.08
TSLA,4/20/2018,290.24
TSLA,4/23/2018,283.37
TSLA,4/24/2018,283.46
TSLA,4/25/2018,280.69
TSLA,4/26/2018,285.48
TSLA,4/27/2018,294.08
TSLA,4/30/2018,293.9
TSLA,5/1/2018,299.92
TSLA,5/2/2018,301.15
TSLA,5/3/2018,284.45
TSLA,5/4/2018,294.09
TSLA,5/7/2018,302.77
TSLA,5/8/2018,301.97
TSLA,5/9/2018,306.85
TSLA,5/10/2018,305.02
TSLA,5/11/2018,301.06
TSLA,5/14/2018,291.97
TSLA,5/15/2018,284.18
TSLA,5/16/2018,286.48
TSLA,5/17/2018,284.54
TSLA,5/18/2018,284.54
TSLA,5/21/2018,284.49
TSLA,5/22/2018,275.01
TSLA,5/23/2018,279.07
TSLA,5/24/2018,277.85
TSLA,5/25/2018,278.85
TSLA,5/29/2018,283.76
TSLA,5/30/2018,291.72
TSLA,5/31/2018,284.73
TSLA,6/1/2018,291.82
TSLA,6/4/2018,296.74
TSLA,6/5/2018,291.13
TSLA,6/6/2018,319.5
TSLA,6/7/2018,316.09
TSLA,6/8/2018,317.66
TSLA,6/11/2018,332.1
TSLA,6/12/2018,342.77
TSLA,6/13/2018,344.78
TSLA,6/14/2018,357.72
TSLA,6/15/2018,358.17
TSLA,6/18/2018,370.83
TSLA,6/19/2018,352.55
TSLA,6/20/2018,362.22
TSLA,6/21/2018,347.51
TSLA,6/22/2018,333.63
TSLA,6/25/2018,333.01
TSLA,6/26/2018,342
TSLA,6/27/2018,344.5
TSLA,6/28/2018,349.93
TSLA,6/29/2018,342.95
TSLA,7/2/2018,335.07
TSLA,7/3/2018,310.86
TSLA,7/5/2018,309.16
TSLA,7/6/2018,308.9
TSLA,7/9/2018,318.51
TSLA,7/10/2018,322.47
TSLA,7/11/2018,318.96
TSLA,7/12/2018,316.71
TSLA,7/13/2018,318.87
TSLA,7/16/2018,310.1
TSLA,7/17/2018,322.69
TSLA,7/18/2018,323.85
TSLA,7/19/2018,320.23
TSLA,7/20/2018,313.58
TSLA,7/23/2018,303.2
TSLA,7/24/2018,297.43
TSLA,7/25/2018,308.74
TSLA,7/26/2018,306.65
TSLA,7/27/2018,297.18
TSLA,7/30/2018,290.17
TSLA,7/31/2018,298.14
TSLA,8/1/2018,300.84
TSLA,8/2/2018,349.54
TSLA,8/3/2018,348.17
TSLA,8/6/2018,341.99
TSLA,8/7/2018,379.57
